               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 122,            0.011234,           0.0036466,          0.00021452,             0.99121,             0.98792,             0.99365,             0.81137,            0.016487,           0.0037436,           0.0018476,           0.0025131,           0.0025131,           0.0025131
                 123,            0.011319,           0.0037828,          0.00031938,             0.99003,             0.98707,             0.99282,             0.81075,            0.016609,           0.0037853,           0.0018457,           0.0024513,           0.0024513,           0.0024513
                 124,            0.011095,            0.003824,          0.00021358,             0.99121,             0.98891,             0.99278,             0.81117,            0.016557,            0.003756,           0.0016691,           0.0023894,           0.0023894,           0.0023894
                 125,            0.011034,           0.0036174,          0.00020578,              0.9903,              0.9899,             0.99279,             0.81479,            0.016488,           0.0037498,           0.0015558,           0.0023275,           0.0023275,           0.0023275
                 126,             0.01103,           0.0037107,          0.00026556,              0.9912,              0.9889,             0.99287,             0.80943,             0.01661,           0.0037453,            0.001746,           0.0022656,           0.0022656,           0.0022656
                 127,            0.011016,           0.0036955,          0.00024167,             0.98973,              0.9899,             0.99253,             0.81081,            0.016542,           0.0037427,           0.0016484,           0.0022038,           0.0022038,           0.0022038
                 128,            0.010788,           0.0036956,          0.00023843,             0.99073,              0.9899,             0.99282,             0.81351,            0.016557,            0.003767,            0.001554,           0.0021419,           0.0021419,           0.0021419
                 129,            0.010764,           0.0035612,          0.00016416,             0.99173,             0.98895,             0.99241,             0.81136,            0.016542,           0.0037609,           0.0015132,             0.00208,             0.00208,             0.00208
                 130,            0.010666,           0.0036154,          0.00018111,             0.99153,             0.99011,             0.99246,             0.81047,            0.016594,            0.003783,           0.0015703,           0.0020181,           0.0020181,           0.0020181
                 131,            0.010433,           0.0036514,          0.00019895,             0.99173,             0.98994,             0.99237,             0.80995,            0.016598,           0.0037752,           0.0016011,           0.0019563,           0.0019563,           0.0019563
                 132,            0.010473,           0.0035876,          0.00019584,             0.99196,             0.98959,             0.99324,             0.81195,            0.016473,           0.0037615,           0.0016771,           0.0018944,           0.0018944,           0.0018944
                 133,            0.010508,           0.0035769,          0.00018498,             0.99009,              0.9899,             0.99321,             0.81246,            0.016504,           0.0037841,           0.0016598,           0.0018325,           0.0018325,           0.0018325
                 134,            0.010521,           0.0036114,          0.00015461,             0.99038,             0.98968,             0.99197,             0.81307,            0.016477,            0.003786,           0.0016718,           0.0017706,           0.0017706,           0.0017706
                 135,             0.01038,            0.003512,          0.00016808,             0.99053,              0.9885,             0.99185,             0.80956,            0.016609,           0.0038316,           0.0016774,           0.0017087,           0.0017087,           0.0017087
                 136,            0.010253,           0.0035147,          0.00014836,             0.98991,             0.99043,             0.99252,               0.812,            0.016548,           0.0038299,           0.0016469,           0.0016469,           0.0016469,           0.0016469
                 137,            0.010331,           0.0034983,          0.00019659,             0.99015,             0.99027,             0.99317,             0.81156,            0.016568,           0.0038402,           0.0016645,            0.001585,            0.001585,            0.001585
                 138,            0.010254,           0.0035174,          0.00014085,             0.98996,             0.99068,             0.99227,             0.81177,            0.016541,           0.0038127,           0.0016807,           0.0015231,           0.0015231,           0.0015231
                 139,            0.010172,           0.0034508,          0.00022829,             0.99205,              0.9885,             0.99217,             0.81288,            0.016517,           0.0038247,           0.0016734,           0.0014612,           0.0014612,           0.0014612
                 140,           0.0099376,           0.0034642,          0.00015564,             0.99033,             0.99021,             0.99221,             0.81299,            0.016494,           0.0038245,           0.0016772,           0.0013994,           0.0013994,           0.0013994
                 141,           0.0098957,           0.0034203,          0.00014414,             0.99135,              0.9899,             0.99194,             0.81249,            0.016484,           0.0038314,           0.0017385,           0.0013375,           0.0013375,           0.0013375
                 142,           0.0097242,           0.0033461,          0.00014143,             0.99136,              0.9899,             0.99305,             0.81209,            0.016468,           0.0038471,           0.0017375,           0.0012756,           0.0012756,           0.0012756
                 143,            0.010042,           0.0034922,          0.00022384,             0.99109,              0.9899,             0.99318,             0.81416,            0.016452,           0.0038361,           0.0017559,           0.0012138,           0.0012138,           0.0012138
                 144,           0.0097461,           0.0033749,          0.00017859,              0.9898,              0.9899,             0.99226,             0.81421,             0.01651,            0.003844,           0.0017338,           0.0011519,           0.0011519,           0.0011519
                 145,           0.0097201,            0.003378,          0.00015864,             0.98994,             0.98928,             0.99226,             0.81116,            0.016565,           0.0038553,           0.0017138,             0.00109,             0.00109,             0.00109
                 146,            0.009667,           0.0033554,          0.00013449,             0.98994,             0.99018,             0.99206,             0.81135,            0.016599,           0.0038599,            0.001727,           0.0010281,           0.0010281,           0.0010281
                 147,           0.0096092,           0.0033241,          9.9573e-05,             0.98924,             0.99089,             0.99221,             0.81266,            0.016583,           0.0038723,           0.0016531,          0.00096625,          0.00096625,          0.00096625
                 148,           0.0094737,            0.003305,          0.00015835,              0.9897,             0.99072,             0.99218,             0.81215,            0.016603,            0.003883,           0.0016603,          0.00090438,          0.00090438,          0.00090438
                 149,           0.0095517,           0.0033614,          0.00013555,             0.98961,             0.99055,             0.99253,             0.81355,            0.016584,            0.003893,           0.0016845,           0.0008425,           0.0008425,           0.0008425
                 150,            0.009329,           0.0033425,          0.00010226,             0.98987,             0.98969,             0.99254,             0.81246,            0.016573,           0.0038898,            0.001715,          0.00078062,          0.00078062,          0.00078062
