               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 104,            0.011987,           0.0038246,          0.00024111,             0.99086,             0.98781,              0.9903,             0.81586,             0.01632,           0.0036043,           0.0014993,           0.0036269,           0.0036269,           0.0036269
                 105,             0.01194,           0.0037631,          0.00027232,             0.99066,             0.98795,             0.98991,             0.81426,            0.016335,           0.0036311,           0.0016734,            0.003565,            0.003565,            0.003565
                 106,            0.011908,           0.0037024,          0.00030595,             0.98761,             0.99082,             0.99041,             0.82164,            0.016147,           0.0035557,           0.0015676,           0.0035031,           0.0035031,           0.0035031
                 107,            0.011911,           0.0037383,           0.0002895,              0.9921,             0.98546,             0.99076,             0.81844,            0.016155,           0.0036105,           0.0015203,           0.0034413,           0.0034413,           0.0034413
                 108,            0.011719,           0.0037467,          0.00023929,             0.98985,             0.98884,             0.99039,             0.81725,            0.016247,           0.0036078,            0.001662,           0.0033794,           0.0033794,           0.0033794
                 109,            0.011733,           0.0037247,          0.00026804,             0.99124,             0.98983,             0.98983,             0.81781,            0.016285,           0.0036247,           0.0015288,           0.0033175,           0.0033175,           0.0033175
                 110,            0.011585,            0.003771,          0.00028111,              0.9925,             0.98819,             0.98984,              0.8161,             0.01633,           0.0036565,           0.0015833,           0.0032556,           0.0032556,           0.0032556
                 111,            0.011413,           0.0037106,          0.00025627,             0.99112,             0.98884,             0.99077,             0.81659,            0.016267,           0.0036302,           0.0016602,           0.0031938,           0.0031938,           0.0031938
                 112,            0.011627,           0.0037014,          0.00028594,             0.99008,             0.98884,             0.99014,             0.81835,            0.016253,           0.0036841,           0.0016587,           0.0031319,           0.0031319,           0.0031319
                 113,             0.01167,           0.0036811,          0.00036823,             0.98714,             0.98638,             0.98941,             0.81627,            0.016276,           0.0036768,           0.0016214,             0.00307,             0.00307,             0.00307
                 114,            0.011307,           0.0036053,          0.00026178,             0.98936,             0.98878,             0.99068,             0.81785,            0.016233,           0.0036737,           0.0016175,           0.0030081,           0.0030081,           0.0030081
                 115,            0.011315,           0.0036913,          0.00029839,             0.99244,              0.9889,             0.99131,             0.82149,            0.016153,           0.0036333,           0.0015525,           0.0029462,           0.0029462,           0.0029462
                 116,             0.01131,           0.0036467,          0.00028564,             0.99019,             0.98983,             0.98994,              0.8181,            0.016226,           0.0036635,           0.0015237,           0.0028844,           0.0028844,           0.0028844
                 117,            0.011064,           0.0036631,          0.00024808,             0.99008,             0.98977,             0.98938,             0.81729,            0.016248,           0.0037036,           0.0014878,           0.0028225,           0.0028225,           0.0028225
                 118,            0.011265,           0.0035547,          0.00025371,             0.98971,             0.98952,             0.98982,             0.81766,            0.016296,           0.0037066,           0.0016181,           0.0027606,           0.0027606,           0.0027606
                 119,             0.01103,           0.0035393,          0.00031446,              0.9915,             0.98747,             0.99016,             0.82194,            0.016207,           0.0036828,            0.001602,           0.0026987,           0.0026987,           0.0026987
                 120,            0.011011,           0.0035223,          0.00018408,             0.99084,             0.98885,             0.99026,             0.81664,            0.016324,             0.00369,           0.0016747,           0.0026369,           0.0026369,           0.0026369
                 121,            0.010812,           0.0034956,            0.000221,             0.98755,             0.99081,             0.99001,             0.81415,            0.016334,           0.0037004,           0.0016437,            0.002575,            0.002575,            0.002575
                 122,            0.010821,           0.0035692,          0.00018201,             0.99185,             0.98929,             0.98955,              0.8152,            0.016328,           0.0037086,           0.0015846,           0.0025131,           0.0025131,           0.0025131
                 123,            0.010782,           0.0034556,          0.00023091,             0.99194,             0.99082,             0.99045,             0.81599,            0.016271,            0.003718,           0.0015739,           0.0024513,           0.0024513,           0.0024513
                 124,            0.010774,           0.0035236,          0.00018375,             0.99157,             0.98867,             0.98992,             0.81564,            0.016251,           0.0037082,           0.0016353,           0.0023894,           0.0023894,           0.0023894
                 125,             0.01072,           0.0035009,          0.00017494,             0.99005,             0.98903,             0.98947,              0.8168,            0.016304,           0.0037425,           0.0016401,           0.0023275,           0.0023275,           0.0023275
                 126,            0.010503,           0.0034279,          0.00018564,             0.99138,             0.98805,              0.9894,             0.81878,            0.016257,            0.003767,           0.0016833,           0.0022656,           0.0022656,           0.0022656
                 127,            0.010531,            0.003454,          0.00021191,             0.98979,             0.98852,             0.98993,             0.81892,            0.016076,           0.0037366,           0.0016578,           0.0022038,           0.0022038,           0.0022038
                 128,             0.01043,           0.0033977,          0.00018148,             0.99239,             0.98908,             0.99005,              0.8174,            0.016158,           0.0037457,           0.0015712,           0.0021419,           0.0021419,           0.0021419
                 129,            0.010205,           0.0034074,          0.00018501,             0.99191,             0.98983,             0.99001,             0.81689,            0.016245,            0.003773,           0.0015746,             0.00208,             0.00208,             0.00208
                 130,            0.010215,           0.0033439,           0.0001933,              0.9921,             0.98887,             0.99001,             0.81705,            0.016274,            0.003797,             0.00158,           0.0020181,           0.0020181,           0.0020181
                 131,            0.010222,           0.0033355,          0.00019078,             0.98987,             0.98785,              0.9902,             0.81831,            0.016248,           0.0037928,            0.001626,           0.0019563,           0.0019563,           0.0019563
                 132,            0.010199,           0.0033057,          0.00016241,              0.9914,             0.98983,              0.9905,             0.81992,             0.01626,           0.0037846,           0.0015903,           0.0018944,           0.0018944,           0.0018944
                 133,             0.01007,           0.0034204,          0.00017694,             0.99146,             0.98787,              0.9908,             0.81936,            0.016248,           0.0037843,           0.0016454,           0.0018325,           0.0018325,           0.0018325
                 134,           0.0099848,           0.0032989,          0.00012544,             0.98976,             0.98832,              0.9907,              0.8159,            0.016264,            0.003801,           0.0016343,           0.0017706,           0.0017706,           0.0017706
